...1,Date,Minimum temperature (Deg C),Maximum Temperature (Deg C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (Deg C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (Deg C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
153,2018-07-2,2.4,14.6,0,0.6,8.9,N,33,16:10:00,4.1,92,1,NNE,9,1032.3,13.9,48,1,N,17,1028.2
61,2019-03-16,12.2,25.6,0,5.2,10.9,SSW,22,14:03:00,14.2,84,1,NE,7,1021,24.4,51,1,SSW,13,1018.4
277,2018-11-30,14.7,20.8,0,4.6,11.5,SSW,37,13:50:00,16.7,75,7,SSW,7,1012.5,18.7,64,3,S,17,1011.4
56,2019-03-10,14.3,23.7,0,6.4,2.8,NNW,39,13:52:00,16,87,7,NNE,9,1012,20.1,56,7,NNW,24,1009.3
33,2019-02-12,18.4,21.5,0,10.6,6.5,SW,46,09:49:00,20.7,55,7,NNW,19,993.2,18.4,41,7,WNW,17,997.9
207,2018-09-2,5,12.3,3,2.2,9,SSE,28,16:07:00,9.1,77,3,SSW,11,1022,11.9,61,7,SSE,11,1022.6
255,2018-11-4,9.2,20.9,0,7.8,6.8,WSW,26,09:46:00,14.5,59,8,NNW,4,1014.7,19.4,53,7,S,9,1011.4
68,2019-03-27,11.1,21.7,0,6.2,10.8,SSW,24,13:36:00,13.5,66,1,NA,Calm,1024.7,19.6,51,0,S,13,1021.5
108,2019-05-11,10.2,16.4,8.2,2.4,2.4,W,26,09:41:00,12.2,76,3,WNW,7,1025.4,15.2,70,7,SSW,7,1025
75,2019-04-3,9.4,24.7,0,8,4.5,WSW,35,10:14:00,18.6,56,7,N,11,1024.2,20.2,70,7,SSW,11,1026.2
193,2018-08-15,11.5,18.4,0,8,6.7,N,54,00:55:00,13.8,51,4,NNW,15,1006.2,17,36,6,WNW,15,1005.2
278,2018-12-1,10.3,31.7,0,7,12.5,N,52,16:48:00,17.3,57,1,NNE,11,1009.9,30.6,27,2,N,24,1002.4
104,2019-05-7,7.4,18.7,0,2.4,9.7,NNW,57,21:26:00,10.6,80,1,NNE,9,1014.6,18.6,46,2,N,20,1008.7
148,2019-06-26,4.6,18,0.2,1.6,9.3,N,26,13:26:00,6.6,84,0,NNE,9,1036.2,17.1,49,1,NNW,13,1032.7
76,2019-04-5,14.4,28.5,0,4,7.9,N,54,13:42:00,16.9,73,4,N,9,1024.5,27.2,37,7,N,28,1018.3
200,2018-08-23,5.6,16,0,2.2,7.8,NNE,19,04:33:00,8.8,79,1,NE,7,1020.5,14.9,50,6,SSW,7,1019
178,2018-07-28,8.4,18.6,0,4.4,2.9,N,33,14:20:00,12.3,71,4,NE,9,1013,17.5,47,7,N,20,1008.8
211,2018-09-7,8.7,15.1,3.4,0.4,6.5,W,24,02:30:00,10.7,73,7,WSW,7,1017.1,14.1,51,5,S,9,1015.7
169,2018-07-19,8.7,17.6,0,6.6,6.4,N,52,07:32:00,10.6,53,7,N,26,1008.1,16.7,42,6,NNW,19,1004.5
88,2019-04-18,13.2,17.7,0,9.8,7.5,S,30,12:51:00,15.3,59,3,SSW,4,1027.7,16.8,52,7,SSW,17,1026.9
113,2019-05-16,10.5,16.1,0,1.8,5.8,S,17,13:32:00,11.3,77,7,NE,7,1029.7,15.3,58,1,SSW,9,1026.4
96,2019-04-28,12.4,17.4,0,3.6,1.3,WNW,33,11:38:00,13.6,79,7,W,11,1025.4,16.6,62,7,SSW,9,1025
92,2019-04-22,13.7,17.6,0.8,6.6,0,SSW,22,12:29:00,15.7,68,7,S,9,1025.4,17,61,7,S,11,1025.8
191,2018-08-12,5.4,14.8,4.6,3,7.4,NW,41,15:36:00,7.9,68,1,NW,11,1019.2,14.2,46,5,WNW,13,1018.6
228,2018-10-3,14.7,18.1,0,8.8,1.5,SSW,33,09:01:00,17.9,56,7,SSW,13,1016.8,15.5,73,8,S,13,1017
297,2018-12-28,21.9,36.4,0,NA,6.5,NNW,33,10:27:00,27.5,40,7,NE,9,1004.9,31.7,36,6,S,9,1005.4
126,2019-05-31,8.5,14.3,1.4,2.4,1.1,SSW,31,11:58:00,11.8,99,7,SW,9,1027.1,13.3,80,7,SSW,9,1027.4
135,2019-06-12,11.9,16.5,0.6,3.8,0,NNW,44,10:08:00,15.6,76,8,NNW,19,1013.8,16.1,83,8,NW,9,1009.8
101,2019-05-4,13,16.4,0.2,4.6,4.3,S,37,17:19:00,14.1,72,2,WSW,9,1019.4,16.1,66,4,SSW,15,1020.5
